"","Order","Family","Genus_Species_Accepted","Genus_Accepted","PMkr2.LCVP.moldat.PvAb.Ap24","NEW_Fruit_fleshy_or_dry_rev_checked_Anna","Fruit_color","ID","Binary_Color"
"923","Arecales","Arecaceae","Bactris_campestris","Bactris",1,"fleshy","red; orange",16147,"conspicuous "
"926","Arecales","Arecaceae","Bactris_caudata","Bactris",1,"fleshy","orange; red",16150,"conspicuous "
"931","Arecales","Arecaceae","Bactris_coloradonis","Bactris",1,"fleshy","orange; red",16156,"conspicuous "
"934","Arecales","Arecaceae","Bactris_concinna","Bactris",1,"fleshy","purple; black",16158,"non-conspicuous"
"936","Arecales","Arecaceae","Bactris_constanciae","Bactris",1,"fleshy","red; purple",16159,"uncertain "
"937","Arecales","Arecaceae","Bactris_cubensis","Bactris",1,"fleshy","red",16162,"conspicuous "
"940","Arecales","Arecaceae","Bactris_ferruginea","Bactris",1,"fleshy","purple; black",16169,"non-conspicuous"
"948","Arecales","Arecaceae","Bactris_gasipaes","Bactris",1,"fleshy","yellow; orange; red",16173,"conspicuous "
"955","Arecales","Arecaceae","Bactris_gastoniana","Bactris",1,"fleshy","purple; black",16177,"non-conspicuous"
"959","Arecales","Arecaceae","Bactris_guineensis","Bactris",1,"fleshy","purple; black",16185,"non-conspicuous"
"963","Arecales","Arecaceae","Bactris_hatschbachii","Bactris",1,"fleshy","purple; black",16188,"non-conspicuous"
"965","Arecales","Arecaceae","Bactris_jamaicana","Bactris",1,"fleshy","orange; red",16195,"conspicuous "
"967","Arecales","Arecaceae","Bactris_killipii","Bactris",1,"fleshy","orange; red",16196,"conspicuous "
"969","Arecales","Arecaceae","Bactris_longiseta","Bactris",1,"fleshy","purple; brown",16198,"non-conspicuous"
"974","Arecales","Arecaceae","Bactris_major","Bactris",1,"fleshy","purple; black",16202,"non-conspicuous"
"979","Arecales","Arecaceae","Bactris_maraja","Bactris",1,"fleshy","black",16090,"non-conspicuous"
"982","Arecales","Arecaceae","Bactris_maraja","Bactris",1,"fleshy","purple; black",16207,"non-conspicuous"
"985","Arecales","Arecaceae","Bactris_militaris","Bactris",1,"fleshy","red",16213,"conspicuous "
"988","Arecales","Arecaceae","Bactris_pliniana","Bactris",1,"fleshy","orange",16224,"conspicuous "
"992","Arecales","Arecaceae","Bactris_plumeriana","Bactris",1,"fleshy","orange; red",16226,"conspicuous "
"994","Arecales","Arecaceae","Bactris_rhaphidacantha","Bactris",1,"fleshy","orange; red",16229,"conspicuous "
"997","Arecales","Arecaceae","Bactris_riparia","Bactris",1,"fleshy","orange; red; green",16231,"uncertain "
"998","Arecales","Arecaceae","Bactris_schultesii","Bactris",1,"fleshy","red; orange",16233,"conspicuous "
"1002","Arecales","Arecaceae","Bactris_setulosa","Bactris",1,"fleshy","orange; red",16243,"conspicuous "
"1005","Arecales","Arecaceae","Bactris_simplicifrons","Bactris",1,"fleshy","red; orange; yellow",16244,"conspicuous "
"1007","Arecales","Arecaceae","Balaka_longirostris","Balaka",1,"fleshy","red",16384,"conspicuous "
"1008","Arecales","Arecaceae","Balaka_samoensis","Balaka",1,"fleshy","orange; red",16388,"conspicuous "
"1010","Arecales","Arecaceae","Balaka_seemannii","Balaka",1,"fleshy","red",16389,"conspicuous "
"1011","Arecales","Arecaceae","Balaka_tahitensis","Balaka",1,"fleshy","orange; red",16391,"conspicuous "
"1013","Arecales","Arecaceae","Barcella_odora","Barcella",1,"fleshy","orange",16961,"conspicuous "
"1014","Arecales","Arecaceae","Basselinia_humboldtiana","Basselinia",1,"fleshy","brown",17163,"non-conspicuous"
"1016","Arecales","Arecaceae","Basselinia_velutina","Basselinia",1,"fleshy","black",17170,"non-conspicuous"
"1019","Arecales","Arecaceae","Beccariophoenix_madagascariensis","Beccariophoenix",1,"fleshy","purple; brown",17503,"non-conspicuous"
"1020","Arecales","Arecaceae","Bentinckia_condapanna","Bentinckia",1,"fleshy","brown",17959,"non-conspicuous"
"1022","Arecales","Arecaceae","Bentinckia_nicobarica","Bentinckia",1,"fleshy","red",17960,"conspicuous "
"1024","Arecales","Arecaceae","Bismarckia_nobilis","Bismarckia",1,"fleshy","brown",18684,"non-conspicuous"
"1025","Arecales","Arecaceae","Bismarckia_nobilis","Bismarckia",1,"fleshy","brown",18685,"non-conspicuous"
"1026","Arecales","Arecaceae","Borassodendron_borneense","Borassodendron",1,"fleshy","brown",19372,"non-conspicuous"
"1029","Arecales","Arecaceae","Borassodendron_machadonis","Borassodendron",1,"fleshy","yellow",19371,"conspicuous "
"1030","Arecales","Arecaceae","Borassodendron_machadonis","Borassodendron",1,"fleshy","purple; black",19373,"non-conspicuous"
"1035","Arecales","Arecaceae","Borassus_aethiopum","Borassus",1,"fleshy","brown",19382,"non-conspicuous"
"1037","Arecales","Arecaceae","Borassus_akeassii","Borassus",1,"fleshy","green",19384,"non-conspicuous"
"1041","Arecales","Arecaceae","Borassus_flabellifer","Borassus",1,"fleshy","purple; black; brown",19385,"conspicuous "
"1042","Arecales","Arecaceae","Borassus_heineanus","Borassus",1,"fleshy","black",19386,"non-conspicuous"
"1044","Arecales","Arecaceae","Borassus_madagascariensis","Borassus",1,"fleshy","brown; green",19387,"non-conspicuous"
"1045","Arecales","Arecaceae","Borassus_madagascariensis","Borassus",1,"fleshy","yellow",19388,"conspicuous "
"1047","Arecales","Arecaceae","Brahea_aculeata","Brahea",1,"fleshy","black",20117,"non-conspicuous"
"1050","Arecales","Arecaceae","Brahea_armata","Brahea",1,"fleshy","black; brown",20118,"non-conspicuous"
"1052","Arecales","Arecaceae","Brahea_brandegeei","Brahea",1,"fleshy","brown",20119,"non-conspicuous"
"1054","Arecales","Arecaceae","Brahea_calcarea","Brahea",1,"fleshy","black",20120,"non-conspicuous"
"1057","Arecales","Arecaceae","Brahea_dulcis","Brahea",1,"fleshy","green",20122,"non-conspicuous"
"1058","Arecales","Arecaceae","Brassiophoenix_drymophloeoides","Brassiophoenix",1,"fleshy","red",20227,"conspicuous "
