Order,Family,Genus_Species_Accepted,Genus_Accepted,PMkr2.LCVP.moldat.PvAb.Ap24,NEW_Fruit_fleshy_or_dry_rev_checked_Anna,Fruit_color,ID
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118619
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,black,118620
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118621
Apiales,Araliaceae,Polyscias_humbertiana,Polyscias,1,fleshy,purple,118628
Apiales,Araliaceae,Polyscias_macgillivrayi,Polyscias,1,fleshy,black,118556
Apiales,Araliaceae,Polyscias_macgillivrayi,Polyscias,1,fleshy,blue,118557
Apiales,Araliaceae,Polyscias_macgillivrayi,Polyscias,1,NA,NA,118622
Apiales,Araliaceae,Polyscias_macgillivrayi,Polyscias,1,NA,black,118635
Apiales,Araliaceae,Polyscias_macgillivrayi,Polyscias,1,NA,black,118636
Apiales,Araliaceae,Polyscias_madagascariensis,Polyscias,1,fleshy,purple,118637
Apiales,Araliaceae,Polyscias_maralia,Polyscias,1,fleshy,purple,118638
Apiales,Araliaceae,Polyscias_mollis,Polyscias,1,NA,NA,118558
Apiales,Araliaceae,Polyscias_mollis,Polyscias,1,fleshy,blue,118559
Apiales,Araliaceae,Polyscias_mollis,Polyscias,1,NA,NA,118560
Apiales,Araliaceae,Polyscias_mollis,Polyscias,1,NA,black,118639
Apiales,Araliaceae,Polyscias_multibracteata,Polyscias,1,fleshy,purple,118640
Apiales,Araliaceae,Polyscias_multijuga,Polyscias,1,fleshy,purple,118561
Apiales,Araliaceae,Polyscias_multijuga,Polyscias,1,NA,NA,118562
Apiales,Araliaceae,Polyscias_multijuga,Polyscias,1,NA,black,118641
Apiales,Araliaceae,Polyscias_muraltana,Polyscias,1,fleshy,purple,118642
Apiales,Araliaceae,Polyscias_murrayi,Polyscias,1,NA,NA,118563
Apiales,Araliaceae,Polyscias_murrayi,Polyscias,1,NA,NA,118564
Apiales,Araliaceae,Polyscias_murrayi,Polyscias,1,NA,NA,118565
Apiales,Araliaceae,Polyscias_murrayi,Polyscias,1,fleshy,brown,118566
Apiales,Araliaceae,Polyscias_murrayi,Polyscias,1,NA,black,118643
Apiales,Araliaceae,Polyscias_myrsine,Polyscias,1,fleshy,purple,118644
Apiales,Araliaceae,Polyscias_myrsine,Polyscias,1,NA,NA,118645
Apiales,Araliaceae,Polyscias_nodosa,Polyscias,1,NA,NA,118569
Apiales,Araliaceae,Polyscias_nodosa,Polyscias,1,fleshy,purple,118570
Apiales,Araliaceae,Polyscias_nodosa,Polyscias,1,NA,black,118646
Apiales,Araliaceae,Polyscias_nodosa,Polyscias,1,NA,NA,118647
Apiales,Araliaceae,Polyscias_ornifolia,Polyscias,1,NA,NA,118571
Apiales,Araliaceae,Polyscias_ornifolia,Polyscias,1,NA,NA,118572
